YEAR,MONTH,CUT-OFF,BRANCH,ARTICLE,ARTICLE DESCRIPTION,ORIG QTY,SALES UNIT,Pack,KG,PCS,GROSS SALES,"COMM
 RATE",NET PAYABLE,TAX CLASS,SKU CATEGORY,AREA,KAM,CHAIN,BANNER,SKU PER BRAND,GENERALIZED SKU,MOTHER SKU,Sales Category,SKU Department,PLACEMENT,PLACEMENT REMARKS,,,,,
2024,DEC,DEC 1 TO 15,MM - UMBRIA,20024093,TGM Pork Menudo Cut 500g,2.00000,PC,2.00000,1.00000,0.00000,324.50000,10%,292.05000,Vat-Exempt,PORK SHELF-READY PACK,SOUTH,ALI,MERRYMART,MERRYMART,TGM PORK MENUDO CUT 500G,PORK MENUDO CUT 500G,MENUDO CUT,RETAIL,MEAT,TGM SRP,OK,Biñan,Laguna,PORK SHELF-READY PACK,SHELF-READY PACK,TGM
2024,DEC,DEC 1 TO 15,MM - UMBRIA,20024091,TGM PORK ADOBO CUT 500G,3.00000,PC,3.00000,1.50000,0.00000,478.50000,10%,430.65000,Vat-Exempt,PORK SHELF-READY PACK,SOUTH,ALI,MERRYMART,MERRYMART,TGM ADOBO CUT 500G,ADOBO CUT 500G,ADOBO CUT,RETAIL,MEAT,TGM SRP,OK,Biñan,Laguna,PORK SHELF-READY PACK,SHELF-READY PACK,TGM
2024,DEC,DEC 1 TO 15,MM - UMBRIA,20024090,TGM Pork Sinigang Cut 500g,1.00000,PC,1.00000,0.50000,0.00000,115.50000,10%,103.95000,Vat-Exempt,PORK SHELF-READY PACK,SOUTH,ALI,MERRYMART,MERRYMART,TGM PORK SINIGANG CUT 500G,PORK SINIGANG CUT 500G,PORK SINIGANG CUT,RETAIL,MEAT,TGM SRP,OK,Biñan,Laguna,PORK SHELF-READY PACK,SHELF-READY PACK,TGM
2024,DEC,DEC 1 TO 15,MM - UMBRIA,20024089,TGM Porkchop Sobi 500g,3.00000,PC,3.00000,1.50000,0.00000,478.50000,10%,430.65000,Vat-Exempt,PORK SHELF-READY PACK,SOUTH,ALI,MERRYMART,MERRYMART,TGM PORKCHOP SOBI 500G,PORKCHOP SOBI 500G,PORKCHOP,RETAIL,MEAT,TGM SRP,OK,Biñan,Laguna,PORK SHELF-READY PACK,SHELF-READY PACK,TGM
2024,DEC,DEC 1 TO 15,MM - UMBRIA,20024088,TGM Ground Pork 500g,4.00000,PC,4.00000,2.00000,0.00000,577.00000,10%,519.30000,Vat-Exempt,PORK SHELF-READY PACK,SOUTH,ALI,MERRYMART,MERRYMART,TGM REGULAR GROUND PORK 500G,REGULAR GROUND PORK 500G,REGULAR GROUND PORK,RETAIL,MEAT,TGM SRP,OK,Biñan,Laguna,PORK SHELF-READY PACK,SHELF-READY PACK,TGM
2024,DEC,DEC 1 TO 15,MM - UMBRIA,20024092,TGM Samgyupsal Slice(Belly Slbl)500g,3.00000,PC,3.00000,1.50000,0.00000,720.00000,10%,648.00000,Vat-Exempt,PORK SHELF-READY PACK,SOUTH,ALI,MERRYMART,MERRYMART,TGM PORK SAMGYUPSAL SLICE SLBL 500G,PORK SAMGYUPSAL SLICE 500G,BELLY,RETAIL,MEAT,TGM SRP,OK,Biñan,Laguna,PORK SHELF-READY PACK,SHELF-READY PACK,TGM
2024,DEC,DEC 1 TO 15,MM - UMBRIA,20024094,TGM Ground Beef 500g,6.00000,PC,6.00000,3.00000,0.00000,1182.50000,10%,1064.25000,Vat-Exempt,BEEF SHELF-READY PACK,SOUTH,ALI,MERRYMART,MERRYMART,TGM REGULAR GROUND BEEF 500G,REGULAR GROUND BEEF 500G,GROUND BEEF,RETAIL,MEAT,TGM SRP,OK,Biñan,Laguna,BEEF SHELF-READY PACK,SHELF-READY PACK,TGM
2024,DEC,DEC 1 TO 15,MM - UMBRIA,20024096,TGM Beef Cubes (From Brisket) 500g,1.00000,PC,1.00000,0.50000,0.00000,250.00000,10%,225.00000,Vat-Exempt,BEEF SHELF-READY PACK,SOUTH,ALI,MERRYMART,MERRYMART,TGM BEEF CUBES 500G,BEEF CUBES 500G,BEEF CUBES,RETAIL,MEAT,TGM SRP,OK,Biñan,Laguna,BEEF SHELF-READY PACK,SHELF-READY PACK,TGM
